,show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type
33,80241855,Dirty John,,"Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel",United States,"November 25, 2019",2018,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,TV Show
39,80198001,Strong Girl Bong-soon,,"Park Bo-young, Park Hyung-sik, Ji Soo, Shim Hye-jin, Yu Jae-myeong, Jeon Seok-ho, Im Won-hee, Kim Won-hae",South Korea,"November 24, 2019",2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Born with supernatural strength, Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.",TV Show
47,80244846,Dolly Parton's Heartstrings,,"Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo",United States,"November 22, 2019",2019,TV-14,1 Season,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.",TV Show
48,80159876,Girls und Panzer der Film,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka",Japan,"November 22, 2019",2015,TV-14,121 min,"Action & Adventure, Anime Features, International Movies",The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,Movie
50,70091304,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,,Mike Birbiglia,United States,"November 22, 2019",2008,TV-14,56 min,Stand-Up Comedy,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,Movie
54,81218074,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,"November 22, 2019",2019,TV-14,119 min,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",Movie
60,81026188,The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,"November 21, 2019",2019,TV-14,93 min,"Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.",Movie
62,81152643,Bangkok Buddies,,"Vayu Kessuvit, Ekapol Deebunmee, Nuttapong Boonyuen, Thanadol Auepongs, Martin Sidel, Nichaphat Chatchaipholrat, Narupornkamol Chaisang, Jidapa Siribunchawan, Hortnarong Teng, Everest Moe, Le Trung Hieu",,"November 20, 2019",2019,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.",TV Show
69,81217738,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,"November 20, 2019",2019,TV-14,134 min,"Dramas, International Movies, Romantic Movies",A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,Movie
97,81152642,Miss Culinary,,"Wanida Termthanaporn, Jason Young, Thanawin Teeraphosukarn, Thanabordee Jaiyen, Chonnikan Netjui, Passaranan Ussadamongkol, Janya Thanasawangkun, Jaturong Mokjok, Panadda Wongphudee️️",,"November 19, 2019",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","After ditching her domestic life to become a chef, a clueless maid crosses paths with two charming suitors who help her reach her dreams.",TV Show
103,80013267,Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,"November 16, 2019",2014,TV-14,84 min,Stand-Up Comedy,"America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter.",Movie
106,81179844,At the Dolphin Bay,,"Angela Chang, Ambrose Hui, Wallace Huo, Jill Hsu, Lin Wei Jun, Josie Leung, Mountain Kao, Liang Hsiu-shen",Taiwan,"November 15, 2019",2003,TV-14,1 Season,"International TV Shows, Romantic TV Shows","Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love.",TV Show
111,81076114,House Arrest,"Shashanka Ghosh, Samit Basu","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",India,"November 15, 2019",2019,TV-14,105 min,"Comedies, Independent Movies, International Movies",A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,Movie
113,81033650,Inheritors,,"Lee Min-ho, Park Shin-hye, Kim Woo-bin, Krystal Jung, Kim Ji-won, Choi Jin-hyuk, Kang Ha-neul, Kim Sung-ryoung, Kim Mee-kyeong, Yoon Jin-seo",South Korea,"November 15, 2019",2013,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich.",TV Show
117,81179882,La Robe De Mariee Des Cieux,,"Cyndi Wang, Leon Jay Williams, Chu Chung-heng, Michael Tao, Ming Dao, Jacky Chu, Ehlo Huang, Terri Kwan",Taiwan,"November 15, 2019",2004,TV-14,1 Season,"International TV Shows, Romantic TV Shows","After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined.",TV Show
121,81033645,My Sassy Girl,,"Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Sohn Chang-min, Yoon Se-a, Cho Hee-bong, Jung Woong-in, Lee Kyung-hwa",South Korea,"November 15, 2019",2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.,TV Show
123,80158800,The 24 Hour War,"Nate Adams, Adam Carolla",,United States,"November 15, 2019",2016,TV-14,100 min,"Documentaries, Sports Movies",An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.,Movie
125,70291121,The Garden of Words,Makoto Shinkai,"Miyu Irino, Kana Hanazawa, Fumi Hirano, Takeshi Maeda, Yuka Terasaki, Takanori Hoshino, Suguru Inoue, Megumi Han, Mikako Komatsu, Yuki Hayashi",Japan,"November 15, 2019",2013,TV-14,46 min,"Anime Features, International Movies, Romantic Movies","When a lonely teenager skips his morning classes to sit in a lovely garden, he meets a mysterious older woman who shares his feelings of alienation.",Movie
127,80161497,The Toys That Made Us,,,United States,,2019,TV-14,3 Seasons,"Docuseries, Reality TV",The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.,TV Show
129,81179864,Westside Story,,"Tony Sun, Wallace Huo, Esther Liu, Cyndi Wang, Zax Wang, Sam Wang, Jason Hsu, Whyn Wu, Ben Lee, Vicky Chen",,"November 15, 2019",2003,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Action & Adventure","Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak.",TV Show
132,81163776,My Dear Warrior,,"Leo Putt, Pimchanok Luevisadpaibul, Suthada Jongjaiphar, Chatra Baude, Claudia Chakrapan, Oabnithi Wiwattanawarang, Varatta Vajrathon, Varot Makaduangkeo, Supasit Chinvinijkul",Thailand,"November 14, 2019",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real.",TV Show
134,81070963,Chief of Staff,,"Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa",South Korea,,2019,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, TV Dramas","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.",TV Show
143,80209553,Busted!,,"Yoo Jae-suk, Ahn Jae-wook, Kim Jong-min, Lee Kwang-soo, Park Min-young, Sehun, Kim Se-jeong",South Korea,,2019,TV-14,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D?",TV Show
144,80989924,Greatest Events of WWII in Colour,,,United Kingdom,"November 8, 2019",2019,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","From the attack on Pearl Harbor to D-Day, the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage.",TV Show
151,80127886,U Turn,Pawan Kumar,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza",India,"November 7, 2019",2016,TV-14,121 min,"International Movies, Thrillers",A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.,Movie
153,81153751,SCAMS,,"Yosuke Sugino, Tomoya Maeno, Maika Yamamoto, Junki Tozuka, Shodai Fukuyama, Ron Mizuma, Takuya Wakabayashi, Asuka Hanamura, Shuntaro Yanagi, Takashi Yamanaka, Masato Wada, Naomi Nishida, Tetta Sugimoto, Ryohei Otani",Japan,"November 6, 2019",2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",TV Show
164,81142595,Voice,,"Andrew Gregson, Khemanit Jamikorn, Nattarat Nopparattayaporn, Pat Chatborirak, Nuttanan Kunnawat, Piyawatt Nivatvongs, Chalad Na Songkhla, Saranyoo Prachakit, Thanongsak Supasap, Supasit Chinvinijkul, Phuksanunt Tanamahataweekit",,"November 5, 2019",2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this remake of the Korean thriller, an esteemed detective and a talented cop join forces to nail the killer who took the lives of their loved ones.",TV Show
171,80114460,Minimalism: A Documentary About the Important Things,Matt D'Avella,"Joshua Fields Millburn, Ryan Nicodemus",United States,"November 4, 2019",2016,TV-14,78 min,Documentaries,People dedicated to rejecting the American ideal that things bring happiness are interviewed in this documentary showing the virtues of less is more.,Movie
189,80234414,100% Hotter,,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,"November 1, 2019",2017,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",TV Show
201,81183624,Billy on the Street,,Billy Eichner,United States,,2016,TV-14,4 Seasons,"International TV Shows, Reality TV, TV Comedies","Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.",TV Show
203,60002033,Butterfield 8,Daniel Mann,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",United States,"November 1, 2019",1960,TV-14,108 min,"Classic Movies, Dramas, Romantic Movies","Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.",Movie
212,81189912,Drive,Tarun Mansukhani,"Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,"November 1, 2019",2019,TV-14,119 min,"Action & Adventure, International Movies","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Movie
227,80090673,Haikyu!!,,"Ayumu Murase, Kaito Ishikawa, Satoshi Hino, Miyu Irino, Yu Hayashi, Koki Uchiyama, Soma Saito, Nobuhiko Okamoto, Yoshimasa Hosoya, Toshiki Masuda, Kaori Nazuka, Hiroshi Kamiya, Kazunari Tanaka, Daisuke Namikawa, Hiroyuki Yoshino, Sumire Morohoshi, Yuichi Nakamura, Yuki Kaji, Shinnosuke Tachibana, Mark Ishii, Ryohei Kimura, Ryota Takeuchi, Hisao Egawa, Subaru Kimura",Japan,,2015,TV-14,2 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.",TV Show
228,70039241,Harlem Globetrotters: The Team That Changed the World,,"Chuck D., Harlem Globetrotters",,"November 1, 2019",2005,TV-14,55 min,"Documentaries, Sports Movies",Relive the greatest moments of the Harlem Globetrotters with this documentary that chronicles the team's legendary 1948 defeat over the Minneapolis Lakers and their historic 1951 Berlin trip.,Movie
240,70111489,Listen Up! The Lives of Quincy Jones,Ellen Weissbrod,"Quincy Jones, Miles Davis, Ray Charles, Sheila E., Ella Fitzgerald, Flavor Flav, Aretha Franklin, Dizzy Gillespie, Lesley Gore, Herbie Hancock, Ice-T, Jesse Jackson, Michael Jackson, Frank Sinatra, Oprah Winfrey",,"November 1, 2019",1990,TV-14,116 min,"Documentaries, Music & Musicals","Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry.",Movie
246,81104406,Maid-Sama!,,"Ayumi Fujimura, Nobuhiko Okamoto, Kazuyoshi Shiibashi, Kana Hanazawa, Yu Kobayashi, Mitsuhiro Ichiki, Takuma Terashima, Yoshimasa Hosoya",Japan,"November 1, 2019",2010,TV-14,1 Season,"Anime Series, Romantic TV Shows","To keep the boys in line, student council president Misaki runs the school with an iron fist – while secretly working as a waitress at a maid café.",TV Show
248,80150290,Mobile Suit Gundam: Iron-Blooded Orphans,,"Kengo Kawanishi, Yoshimasa Hosoya, Natsuki Hanae, Yuuichirou Umehara, Yasuaki Takumi, Taishi Murata, Kouhei Amasaki, Mutsumi Tamura, Soma Saito, Yuka Terasaki, Hisako Kanemoto, Takahiro Sakurai, Masaya Matsukaze, Toru Okawa",,,2016,TV-14,2 Seasons,"Anime Series, International TV Shows","On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.",TV Show
256,81075744,Queer Eye: We're in Japan!,,"Bobby Berk, Karamo Brown, Tan France, Antoni Porowski, Jonathan Van Ness, Kiko Mizuhara","United States, Japan","November 1, 2019",2019,TV-14,1 Season,"International TV Shows, Reality TV","The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.",TV Show
266,81189396,Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",Charles Dance,United Kingdom,"November 1, 2019",2018,TV-14,95 min,Documentaries,"In this epic documentary, last-surviving veterans trace the history of a legendary fighter aircraft that dominated the air during the Battle of Britain.",Movie
272,70031779,The Cincinnati Kid,Norman Jewison,"Steve McQueen, Edward G. Robinson, Ann-Margret, Karl Malden, Tuesday Weld, Joan Blondell, Rip Torn, Jack Weston, Cab Calloway, Jeff Corey, Theo Marcuse",United States,"November 1, 2019",1965,TV-14,103 min,"Classic Movies, Dramas","In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues.",Movie
279,81150305,The Man Without Gravity,Marco Bonfanti,"Elio Germano, Michela Cescon, Elena Cotta, Silvia D'Amico, Vincent Scarito","Italy, Belgium, France","November 1, 2019",2019,TV-14,107 min,"Dramas, International Movies",A gravity-defying boy raised in seclusion matures into an extraordinary man – and an international celebrity – who longs for human connection.,Movie
283,81170692,The Old Thieves: The Legend of Artegios,Everardo González,,,"November 1, 2019",2007,TV-14,97 min,"Documentaries, International Movies","While carrying out prison sentences, five notorious thieves in Mexico City share their principles, preferred methods and respect for the craft.",Movie
292,81170694,Zoé: Panoramas,"Rodrigo Guardiola, Gabriel Cruz Rivas","Sergio Acosta, Jesús Báez, Ángel Mosqueda, Rodrigo Guardiola, León Larregui",,"November 1, 2019",2016,TV-14,89 min,"Documentaries, International Movies, Music & Musicals",This introspective rockumentary follows the career triumphs and intimate moments of legendary Mexican band Zoé as they embark on a global tour.,Movie
296,80113037,Midnight Diner: Tokyo Stories,,"Kaoru Kobayashi, Joe Odagiri, Mansaku Fuwa, Reiko Kataoka, Koen Kondo, Bsaku Sato, Hirofumi Arai, Mamiko Itoh, Yuma Yamoto, Yoshinori Okada, Ah-sung Ko, Kosuke Toyohara, Yoshiyuki Morishita, Junko Miyashita, Tamaki Ogawa, Toru Kazama, Kotaro Shiga, Mitsuru Hirata, Toshiki Ayata, Shohei Uno, Tamae Ando, Risa Sudou, Asako Kobayashi, Takashi Yamanaka, Yutaka Matsushige, Ken Mitsuishi, Mikako Tabe, Kimiko Yo",Japan,,2019,TV-14,2 Seasons,"International TV Shows, TV Dramas",Patrons of an otherwise mundane Japanese diner find simple yet profound connections with one another based on the shared love of a particular dish.,TV Show
299,81166978,"Bring It On, Ghost",Park Joon-hwa,"Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun",South Korea,"October 30, 2019",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.,TV Show
301,81177371,Mehandi Circus,Saravana Rajendran,"Madhampatti Rangaraj, Shweta Tripathi, Vela Ramamoorthy, Ankur Vikal, G. Marimuthu, Sunny Charles",India,"October 30, 2019",2019,TV-14,126 min,"Dramas, International Movies, Romantic Movies","In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",Movie
302,81167029,Tomorrow with You,,"Shin Mina, Lee Je-hoon, Kim Ye-won, Cho Han-cheul, Baek Hyeon-jin, Kang Ki-doong, Park Joo-hee, Oh Gwang-rok",South Korea,"October 30, 2019",2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",The head of a real estate firm with the ability to travel through time by taking the subway marries a photographer to try and change his future.,TV Show
305,81169914,Shine On with Reese,,Reese Witherspoon,United States,"October 29, 2019",2018,TV-14,1 Season,Docuseries,"In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",TV Show
306,81211714,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,,,United States,"October 29, 2019",2019,TV-14,14 min,"Documentaries, International Movies","Aaron Paul, Vince Gilligan and other cast members, producers and crew share stories and footage from the making of ""El Camino.""",Movie
314,81136744,Assimilate,John Murlowski,"Joel Courtney, Calum Worthy, Andi Matichak, Katherine McNamara, Cam Gigandet, Mason McNulty, Terry Dale Parks, Vito Viscuso, Jennifer Pierce Mathus, Kevin Remington",United States,"October 25, 2019",2019,TV-14,94 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.,Movie
325,81061828,Nailed It! France,,"Artus, Noémie Honiat",France,"October 25, 2019",2019,TV-14,1 Season,"International TV Shows, Reality TV","On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",TV Show
331,81200228,The Untamed,,"Sean Xiao, Wang Yibo, Zoey Meng, Xuan Lu, Yu Bin, Wang Zhuocheng, Liu Haikuan, Zhu Zanjin, Wang Haoxuan, Ji Li",China,"October 25, 2019",2019,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries","In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past.",TV Show
335,81075461,Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su","Singapore, Malaysia","October 24, 2019",2019,TV-14,92 min,"Horror Movies, International Movies",A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,Movie
345,81043190,يوم الدين,Abu Bakr Shawky,"Rady Gamal, Ahmed Abdelhafiz, Shahira Fahmy, Shehab Ibrahim, Mohamed Abd El Azim, Osama Abdullah, Khaled Raafat, Mohamed Qishta, Shoq Emara, Mahmoud Fares","Egypt, Austria, United States","October 22, 2019",2018,TV-14,97 min,"Dramas, Independent Movies, International Movies","A man cured of leprosy and a young orphan leave their colony for the first time to travel across Egypt, hoping to find the families they lost.",Movie
349,81172848,Moms at War,Omoni Oboli,"Omoni Oboli, Funke Akindele, Yul Edochie, Abayomi Alvin, Adebukola Oladipupo, Sharon Ooja, Eucharia-Anunobi Ekwu, Harriet Akinola, Michelle Dede",Nigeria,"October 19, 2019",2018,TV-14,92 min,"Comedies, Dramas, International Movies","Two fierce mothers become rivals when a school contest forces their kids, both model students, to compete against one another to be the best in class.",Movie
351,81172729,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",South Africa,"October 18, 2019",2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Movie
352,81172895,93 Days,Steve Gukas,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,"October 18, 2019",2016,TV-14,121 min,"Dramas, International Movies, Thrillers",Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,Movie
